neuron,target,acc,beta0,beta1
0,context,0.29655172413793107,-0.6620534715003236,0.0370212620173411
0,water,0.5931034482758621,-0.4409523345123527,0.02994107016536862
0,lick_or_not,0.6,-0.407209679527795,0.029617902260322345
1,context,0.1724137931034483,-0.03311168244220573,0.0050922574608907555
1,water,0.5103448275862069,0.1240875062302856,-0.016150882931567134
1,lick_or_not,0.5310344827586206,0.15975570550820273,-0.017097022697489434
2,context,0.29655172413793107,-0.31575276825686094,0.011368987483177996
2,water,0.5724137931034483,-0.4594328476831089,0.017628885269948602
2,lick_or_not,0.5793103448275863,-0.41436444284144314,0.016919029818738412
3,context,0.22758620689655168,0.13548127946797459,-0.0036511865595543185
3,water,0.5310344827586206,0.18738093943404793,-0.005597995207648926
3,lick_or_not,0.5586206896551724,0.2048880814469263,-0.005294590788798905
4,context,0.2896551724137931,-0.3186159622204638,0.01901399869189031
4,water,0.6413793103448275,-0.43999761105898066,0.0283640605233763
4,lick_or_not,0.6482758620689655,-0.39363406131436457,0.026955818470499993
5,context,0.37241379310344824,0.14552468291366816,-0.002418466227264609
5,water,0.6482758620689655,0.73874422803812,-0.025751156215200816
5,lick_or_not,0.6551724137931034,0.71673129270296,-0.02379602625388498
6,context,0.26206896551724135,-0.18604730285797258,0.01226642764163308
6,water,0.593103448275862,-0.34568441689172086,0.023404173654636155
6,lick_or_not,0.5931034482758621,-0.3072510790508999,0.02259981880811702
7,context,0.2689655172413793,-0.12164795782319351,0.00906515036437693
7,water,0.5862068965517242,-0.40909957791510093,0.02515067170740775
7,lick_or_not,0.5655172413793104,-0.36298574754086477,0.02393871576193766
8,context,0.2206896551724138,0.19728245814839723,-0.005772658168736504
8,water,0.496551724137931,0.11476341501139799,-0.0032745468959011316
8,lick_or_not,0.5034482758620691,0.15811933760781727,-0.003676291906488537
9,context,0.33103448275862063,0.5841803294977044,-0.03901308612285586
9,water,0.5793103448275861,0.34839971146550847,-0.017784884141015308
9,lick_or_not,0.5655172413793104,0.36679427905500733,-0.01726617332622813
10,context,0.29655172413793107,0.9534669705318131,-0.11486977609928004
10,water,0.6482758620689655,0.5013953553969581,-0.03663594862445609
10,lick_or_not,0.6482758620689655,0.5395301640633224,-0.03731570380483482
11,context,0.33793103448275863,0.4659213298624286,-0.04830478275930612
11,water,0.6137931034482759,0.5634871973254,-0.0510660546727367
11,lick_or_not,0.593103448275862,0.5669922641451638,-0.048435261792795406
12,context,0.19310344827586207,0.19230213894125667,-0.03183433719706923
12,water,0.4551724137931036,0.0848009507676372,-0.013643145759084535
12,lick_or_not,0.5103448275862069,0.12047389324908571,-0.014763957861706926
13,context,0.3310344827586207,-0.7856345665759956,0.09445562347858655
13,water,0.6758620689655173,-0.7632119600444647,0.11769987672790468
13,lick_or_not,0.6758620689655173,-0.7236012531698417,0.11625321737195356
14,context,0.2620689655172414,-0.14282891439510484,0.007480763664960478
14,water,0.5448275862068965,-0.15606435331767363,0.007002552380251089
14,lick_or_not,0.5379310344827586,-0.11735970870566849,0.00644348413240822
15,context,0.2896551724137931,-0.40233772072241597,0.014709665078261283
15,water,0.5172413793103449,-0.2073977160915484,0.007507010041019862
15,lick_or_not,0.5241379310344828,-0.15285675682398575,0.0064636421155621826
16,context,0.31724137931034485,-0.07649784883731935,0.009992353099138027
16,water,0.5793103448275861,-0.08162324063341718,0.003180927642582128
16,lick_or_not,0.5724137931034482,-0.04940122870059045,0.002964727462607647
17,context,0.24137931034482757,-0.2679914780291559,0.013343877141330774
17,water,0.5172413793103449,-0.2665796018705855,0.013707206093803775
17,lick_or_not,0.496551724137931,-0.21005420937443903,0.012136190375001691
18,context,0.2827586206896552,-0.35957601467806877,0.02062888289457872
18,water,0.593103448275862,-0.3769076378752972,0.024283844178959256
18,lick_or_not,0.5931034482758621,-0.3329631536472552,0.023170865691050816
19,context,0.2,-0.08241069670324898,0.002899391325601415
19,water,0.4344827586206897,0.013523241478969677,-0.0009627526110807374
19,lick_or_not,0.4413793103448276,0.05410934756236489,-0.0014211837361052513
20,context,0.26206896551724135,-0.07167300264804126,0.0027532283545154803
20,water,0.5448275862068966,-0.3221558234516092,0.008109058728923865
20,lick_or_not,0.5241379310344828,-0.3030149540395906,0.008363533828005806
21,context,0.20689655172413796,-0.15712913332769754,0.0031132268926024626
21,water,0.5724137931034483,-0.2869157238740316,0.005559974477143772
21,lick_or_not,0.6068965517241379,-0.31534064552478863,0.006712040314163926
22,context,0.2206896551724138,-0.2563355145799883,0.026104843838320284
22,water,0.4896551724137931,-0.011265546246976635,-0.00021144880042784167
22,lick_or_not,0.47586206896551725,3.464202410839347e-05,0.001047157179118481
23,context,0.38620689655172413,-2.5723307049353696,0.03403661885621322
23,water,0.8482758620689654,-3.954609654967178,0.05542778465538556
23,lick_or_not,0.8275862068965516,-3.8111135764348685,0.05408681362382292
24,context,0.2620689655172414,0.4469612738585599,-0.042166823178575716
24,water,0.5448275862068966,0.33504198393185386,-0.027896632444089957
24,lick_or_not,0.5862068965517241,0.39191164779816695,-0.03023147826233275
25,context,0.26206896551724135,0.5141804664916133,-0.06813252006885108
25,water,0.6689655172413793,0.7938027265570123,-0.09720063914882693
25,lick_or_not,0.6827586206896552,0.833856072518067,-0.09846438714386027
26,context,0.28965517241379307,0.5799003622931634,-0.021280467918714973
26,water,0.5310344827586208,0.39483474746001074,-0.012550867502188819
26,lick_or_not,0.5517241379310345,0.45740529175212874,-0.013628197638915157
27,context,0.17241379310344826,-0.2248943897190313,0.02210094597541735
27,water,0.503448275862069,-0.1482496432344024,0.014684831673975874
27,lick_or_not,0.47586206896551725,-0.11419713540914508,0.01398681604397096
28,context,0.29655172413793107,0.3942066953544997,-0.030515295370607924
28,water,0.5586206896551724,0.3513234224818126,-0.02410921613388244
28,lick_or_not,0.5379310344827586,0.34095140482965447,-0.021430382306869777
29,context,0.2206896551724138,0.09397187483031437,-0.007755209381304284
29,water,0.4896551724137931,0.05361736067922409,-0.005193616399767526
29,lick_or_not,0.48275862068965514,0.03143306500278901,-0.0013552382825626793
30,context,0.2,0.12181302625998515,-0.011501854489956255
30,water,0.45517241379310347,0.05678368130126713,-0.005374836757665765
30,lick_or_not,0.47586206896551725,0.08389700225040769,-0.005321408530070091
31,context,0.2482758620689655,-0.35454595728152866,0.01409787439212981
31,water,0.606896551724138,-0.8804800942975815,0.033610163361686034
31,lick_or_not,0.5862068965517242,-0.8076246359304393,0.03189948643413901
32,context,0.2827586206896552,0.6513583856057555,-0.04951539073471039
32,water,0.5448275862068965,0.43513828160304396,-0.026390247612429824
32,lick_or_not,0.5310344827586208,0.42957529679999623,-0.02428167901280312
33,context,0.2137931034482759,-0.11143225586579171,0.003124133551665318
33,water,0.5724137931034482,-0.29123642638055824,0.00765313722689756
33,lick_or_not,0.5586206896551723,-0.24683354817808473,0.007189526955727549
34,context,0.26206896551724135,0.11052414678413493,-0.010610689185958479
34,water,0.5724137931034482,-0.38060897136435634,0.046319115636288
